PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
AZ,b,1959,0,0.03322,0.03230,0.14,100000,3230,97223,6943327,69.43
AZ,b,1959,1,0.00312,0.00311,0.5,96770,301,96620,6846104,70.75
AZ,b,1959,2,0.00156,0.00155,0.5,96469,150,96394,6749484,69.97
AZ,b,1959,3,0.00118,0.00118,0.5,96319,114,96263,6653090,69.07
AZ,b,1959,4,0.00093,0.00093,0.5,96206,90,96161,6556827,68.15
AZ,b,1959,5,0.00088,0.00088,0.5,96116,85,96074,6460666,67.22
AZ,b,1959,6,0.00078,0.00078,0.5,96031,75,95994,6364593,66.28
AZ,b,1959,7,0.00074,0.00074,0.5,95957,71,95921,6268599,65.33
AZ,b,1959,8,0.00049,0.00049,0.5,95886,47,95862,6172678,64.38
AZ,b,1959,9,0.00039,0.00039,0.5,95839,37,95820,6076815,63.41
AZ,b,1959,10,0.00043,0.00043,0.5,95801,41,95781,5980995,62.43
AZ,b,1959,11,0.00067,0.00067,0.5,95761,65,95728,5885215,61.46
AZ,b,1959,12,0.00048,0.00048,0.5,95696,46,95673,5789486,60.50
AZ,b,1959,13,0.00038,0.00038,0.5,95650,36,95631,5693814,59.53
AZ,b,1959,14,0.00087,0.00087,0.5,95613,83,95572,5598182,58.55
AZ,b,1959,15,0.00124,0.00124,0.5,95530,119,95471,5502610,57.60
AZ,b,1959,16,0.00081,0.00081,0.5,95411,77,95373,5407140,56.67
AZ,b,1959,17,0.00104,0.00103,0.5,95334,99,95285,5311767,55.72
AZ,b,1959,18,0.00129,0.00129,0.5,95235,123,95174,5216483,54.77
AZ,b,1959,19,0.00168,0.00168,0.5,95112,160,95032,5121309,53.84
AZ,b,1959,20,0.00200,0.00200,0.5,94953,190,94858,5026276,52.93
AZ,b,1959,21,0.00172,0.00171,0.5,94763,162,94682,4931419,52.04
AZ,b,1959,22,0.00223,0.00223,0.5,94601,211,94495,4836737,51.13
AZ,b,1959,23,0.00136,0.00136,0.5,94390,128,94326,4742241,50.24
AZ,b,1959,24,0.00168,0.00168,0.5,94262,158,94182,4647916,49.31
AZ,b,1959,25,0.00196,0.00196,0.5,94103,184,94011,4553733,48.39
AZ,b,1959,26,0.00181,0.00181,0.5,93919,170,93834,4459722,47.48
AZ,b,1959,27,0.00172,0.00172,0.5,93749,161,93669,4365888,46.57
AZ,b,1959,28,0.00158,0.00158,0.5,93588,148,93514,4272219,45.65
AZ,b,1959,29,0.00149,0.00149,0.5,93440,139,93371,4178705,44.72
AZ,b,1959,30,0.00192,0.00192,0.5,93301,179,93211,4085334,43.79
AZ,b,1959,31,0.00228,0.00227,0.5,93122,212,93016,3992123,42.87
AZ,b,1959,32,0.00248,0.00248,0.5,92910,231,92795,3899107,41.97
AZ,b,1959,33,0.00200,0.00200,0.5,92680,185,92587,3806312,41.07
AZ,b,1959,34,0.00213,0.00213,0.5,92494,197,92396,3713725,40.15
AZ,b,1959,35,0.00256,0.00256,0.5,92297,236,92179,3621330,39.24
AZ,b,1959,36,0.00215,0.00215,0.5,92061,198,91962,3529150,38.33
AZ,b,1959,37,0.00253,0.00253,0.5,91863,232,91747,3437188,37.42
AZ,b,1959,38,0.00281,0.00281,0.5,91631,257,91502,3345441,36.51
AZ,b,1959,39,0.00363,0.00363,0.5,91373,331,91208,3253939,35.61
AZ,b,1959,40,0.00369,0.00369,0.5,91042,336,90874,3162731,34.74
AZ,b,1959,41,0.00371,0.00371,0.5,90706,336,90538,3071857,33.87
AZ,b,1959,42,0.00462,0.00461,0.5,90370,416,90162,2981319,32.99
AZ,b,1959,43,0.00422,0.00421,0.5,89954,379,89764,2891157,32.14
AZ,b,1959,44,0.00428,0.00427,0.5,89575,382,89384,2801393,31.27
AZ,b,1959,45,0.00476,0.00475,0.5,89192,424,88980,2712009,30.41
AZ,b,1959,46,0.00514,0.00513,0.5,88768,455,88541,2623029,29.55
AZ,b,1959,47,0.00539,0.00538,0.5,88313,475,88076,2534488,28.70
AZ,b,1959,48,0.00721,0.00718,0.5,87838,631,87523,2446412,27.85
AZ,b,1959,49,0.00728,0.00725,0.5,87207,633,86891,2358890,27.05
AZ,b,1959,50,0.00644,0.00642,0.5,86574,556,86297,2271999,26.24
AZ,b,1959,51,0.00750,0.00747,0.5,86019,643,85697,2185702,25.41
AZ,b,1959,52,0.00881,0.00877,0.5,85376,749,85001,2100005,24.60
AZ,b,1959,53,0.01164,0.01157,0.5,84627,979,84137,2015004,23.81
AZ,b,1959,54,0.01041,0.01036,0.5,83648,866,83215,1930866,23.08
AZ,b,1959,55,0.01118,0.01111,0.5,82781,920,82321,1847652,22.32
AZ,b,1959,56,0.01363,0.01354,0.5,81861,1108,81307,1765331,21.56
AZ,b,1959,57,0.01261,0.01253,0.5,80753,1012,80247,1684023,20.85
AZ,b,1959,58,0.01655,0.01642,0.5,79741,1309,79086,1603777,20.11
AZ,b,1959,59,0.01606,0.01593,0.5,78432,1249,77807,1524690,19.44
AZ,b,1959,60,0.01608,0.01595,0.5,77182,1231,76567,1446883,18.75
AZ,b,1959,61,0.01676,0.01662,0.5,75951,1262,75320,1370316,18.04
AZ,b,1959,62,0.02219,0.02194,0.5,74689,1639,73870,1294996,17.34
AZ,b,1959,63,0.02294,0.02268,0.5,73050,1657,72222,1221126,16.72
AZ,b,1959,64,0.02228,0.02204,0.5,71393,1573,70607,1148904,16.09
AZ,b,1959,65,0.02518,0.02487,0.5,69820,1736,68952,1078297,15.44
AZ,b,1959,66,0.02438,0.02408,0.5,68084,1640,67264,1009345,14.82
AZ,b,1959,67,0.02917,0.02875,0.5,66444,1910,65489,942081,14.18
AZ,b,1959,68,0.02579,0.02546,0.5,64534,1643,63713,876591,13.58
AZ,b,1959,69,0.03165,0.03116,0.5,62891,1960,61911,812879,12.93
AZ,b,1959,70,0.03485,0.03426,0.5,60932,2087,59888,750967,12.32
AZ,b,1959,71,0.04024,0.03944,0.5,58844,2321,57684,691079,11.74
AZ,b,1959,72,0.04255,0.04167,0.5,56523,2355,55346,633396,11.21
AZ,b,1959,73,0.04051,0.03971,0.5,54168,2151,53093,578050,10.67
AZ,b,1959,74,0.05361,0.05221,0.5,52017,2716,50660,524957,10.09
AZ,b,1959,75,0.05781,0.05618,0.5,49302,2770,47917,474298,9.62
AZ,b,1959,76,0.05916,0.05746,0.5,46532,2674,45195,426381,9.16
AZ,b,1959,77,0.06481,0.06278,0.5,43858,2753,42481,381186,8.69
AZ,b,1959,78,0.06629,0.06416,0.5,41105,2637,39786,338705,8.24
AZ,b,1959,79,0.07921,0.07619,0.5,38467,2931,37002,298919,7.77
AZ,b,1959,80,0.08634,0.08277,0.5,35536,2941,34066,261917,7.37
AZ,b,1959,81,0.09344,0.08927,0.5,32595,2910,31140,227851,6.99
AZ,b,1959,82,0.10107,0.09621,0.5,29685,2856,28257,196711,6.63
AZ,b,1959,83,0.10928,0.10362,0.5,26829,2780,25439,168454,6.28
AZ,b,1959,84,0.11810,0.11152,0.5,24049,2682,22708,143015,5.95
AZ,b,1959,85,0.12755,0.11991,0.5,21367,2562,20086,120307,5.63
AZ,b,1959,86,0.13767,0.12881,0.5,18805,2422,17594,100221,5.33
AZ,b,1959,87,0.14849,0.13823,0.5,16383,2265,15251,82626,5.04
AZ,b,1959,88,0.16003,0.14818,0.5,14118,2092,13072,67376,4.77
AZ,b,1959,89,0.17232,0.15865,0.5,12026,1908,11072,54304,4.52
AZ,b,1959,90,0.18538,0.16966,0.5,10118,1717,9260,43231,4.27
AZ,b,1959,91,0.19922,0.18118,0.5,8402,1522,7641,33971,4.04
AZ,b,1959,92,0.21386,0.19320,0.5,6879,1329,6215,26331,3.83
AZ,b,1959,93,0.22930,0.20571,0.5,5550,1142,4979,20116,3.62
AZ,b,1959,94,0.24552,0.21868,0.5,4409,964,3927,15136,3.43
AZ,b,1959,95,0.26254,0.23207,0.5,3445,799,3045,11210,3.25
AZ,b,1959,96,0.28032,0.24586,0.5,2645,650,2320,8165,3.09
AZ,b,1959,97,0.29883,0.25998,0.5,1995,519,1735,5845,2.93
AZ,b,1959,98,0.31804,0.27440,0.5,1476,405,1274,4110,2.78
AZ,b,1959,99,0.33790,0.28906,0.5,1071,310,916,2836,2.65
AZ,b,1959,100,0.35834,0.30389,0.5,761,231,646,1920,2.52
AZ,b,1959,101,0.37931,0.31884,0.5,530,169,446,1274,2.40
AZ,b,1959,102,0.40073,0.33384,0.5,361,121,301,828,2.29
AZ,b,1959,103,0.42252,0.34882,0.5,241,84,199,528,2.19
AZ,b,1959,104,0.44458,0.36373,0.5,157,57,128,329,2.10
AZ,b,1959,105,0.46682,0.37848,0.5,100,38,81,201,2.01
AZ,b,1959,106,0.48916,0.39303,0.5,62,24,50,120,1.94
AZ,b,1959,107,0.51148,0.40732,0.5,38,15,30,70,1.87
AZ,b,1959,108,0.53370,0.42128,0.5,22,9,18,40,1.81
AZ,b,1959,109,0.55573,0.43489,0.5,13,6,10,23,1.76
AZ,b,1959,110+,0.57747,1.00000,1.73,7,7,13,13,1.73
AZ,b,1960,0,0.03341,0.03248,0.14,100000,3248,97210,6925393,69.25
AZ,b,1960,1,0.00300,0.00299,0.5,96752,290,96608,6828183,70.57
AZ,b,1960,2,0.00184,0.00183,0.5,96463,177,96374,6731575,69.78
AZ,b,1960,3,0.00109,0.00109,0.5,96286,105,96233,6635201,68.91
AZ,b,1960,4,0.00108,0.00108,0.5,96181,104,96129,6538968,67.99
AZ,b,1960,5,0.00084,0.00083,0.5,96077,80,96036,6442839,67.06
AZ,b,1960,6,0.00035,0.00035,0.5,95996,33,95980,6346803,66.12
AZ,b,1960,7,0.00036,0.00036,0.5,95963,34,95946,6250823,65.14
AZ,b,1960,8,0.00020,0.00020,0.5,95929,19,95919,6154877,64.16
AZ,b,1960,9,0.00066,0.00066,0.5,95910,63,95878,6058958,63.17
AZ,b,1960,10,0.00032,0.00032,0.5,95846,30,95831,5963079,62.21
AZ,b,1960,11,0.00046,0.00046,0.5,95816,44,95794,5867248,61.23
AZ,b,1960,12,0.00043,0.00043,0.5,95772,41,95752,5771454,60.26
AZ,b,1960,13,0.00059,0.00059,0.5,95731,57,95703,5675703,59.29
AZ,b,1960,14,0.00059,0.00059,0.5,95674,56,95646,5580000,58.32
AZ,b,1960,15,0.00096,0.00096,0.5,95618,92,95572,5484354,57.36
AZ,b,1960,16,0.00106,0.00105,0.5,95526,101,95475,5388782,56.41
AZ,b,1960,17,0.00109,0.00109,0.5,95425,104,95373,5293307,55.47
AZ,b,1960,18,0.00103,0.00103,0.5,95321,98,95272,5197934,54.53
AZ,b,1960,19,0.00251,0.00251,0.5,95223,239,95103,5102662,53.59
AZ,b,1960,20,0.00208,0.00207,0.5,94984,197,94886,5007558,52.72
AZ,b,1960,21,0.00165,0.00164,0.5,94787,156,94709,4912673,51.83
AZ,b,1960,22,0.00205,0.00205,0.5,94631,194,94534,4817964,50.91
AZ,b,1960,23,0.00169,0.00169,0.5,94437,160,94357,4723430,50.02
AZ,b,1960,24,0.00141,0.00141,0.5,94277,133,94211,4629072,49.10
AZ,b,1960,25,0.00233,0.00233,0.5,94144,219,94034,4534862,48.17
AZ,b,1960,26,0.00165,0.00165,0.5,93925,155,93848,4440827,47.28
AZ,b,1960,27,0.00126,0.00126,0.5,93770,118,93711,4346980,46.36
AZ,b,1960,28,0.00148,0.00148,0.5,93652,138,93583,4253269,45.42
AZ,b,1960,29,0.00175,0.00175,0.5,93514,164,93432,4159685,44.48
AZ,b,1960,30,0.00189,0.00188,0.5,93350,176,93262,4066253,43.56
AZ,b,1960,31,0.00174,0.00174,0.5,93174,162,93094,3972991,42.64
AZ,b,1960,32,0.00192,0.00192,0.5,93013,178,92924,3879897,41.71
AZ,b,1960,33,0.00254,0.00253,0.5,92834,235,92717,3786974,40.79
AZ,b,1960,34,0.00245,0.00245,0.5,92599,227,92486,3694257,39.90
AZ,b,1960,35,0.00224,0.00224,0.5,92373,207,92269,3601771,38.99
AZ,b,1960,36,0.00277,0.00277,0.5,92166,255,92038,3509502,38.08
AZ,b,1960,37,0.00231,0.00231,0.5,91911,212,91805,3417463,37.18
AZ,b,1960,38,0.00264,0.00264,0.5,91698,242,91578,3325659,36.27
AZ,b,1960,39,0.00230,0.00230,0.5,91457,210,91352,3234081,35.36
AZ,b,1960,40,0.00305,0.00305,0.5,91247,278,91108,3142730,34.44
AZ,b,1960,41,0.00304,0.00304,0.5,90969,276,90831,3051622,33.55
AZ,b,1960,42,0.00491,0.00490,0.5,90692,445,90470,2960792,32.65
AZ,b,1960,43,0.00505,0.00504,0.5,90248,455,90020,2870321,31.80
AZ,b,1960,44,0.00492,0.00491,0.5,89793,441,89572,2780301,30.96
AZ,b,1960,45,0.00600,0.00598,0.5,89352,534,89085,2690728,30.11
AZ,b,1960,46,0.00548,0.00546,0.5,88818,485,88575,2601644,29.29
AZ,b,1960,47,0.00627,0.00625,0.5,88333,552,88057,2513069,28.45
AZ,b,1960,48,0.00588,0.00586,0.5,87781,515,87523,2425012,27.63
AZ,b,1960,49,0.00721,0.00718,0.5,87266,627,86953,2337489,26.79
AZ,b,1960,50,0.00728,0.00725,0.5,86639,628,86325,2250536,25.98
AZ,b,1960,51,0.00773,0.00770,0.5,86011,662,85680,2164211,25.16
AZ,b,1960,52,0.01004,0.00999,0.5,85349,853,84922,2078531,24.35
AZ,b,1960,53,0.01061,0.01055,0.5,84496,892,84050,1993609,23.59
AZ,b,1960,54,0.01138,0.01132,0.5,83604,946,83131,1909559,22.84
AZ,b,1960,55,0.01145,0.01139,0.5,82658,941,82187,1826428,22.10
AZ,b,1960,56,0.01478,0.01467,0.5,81717,1199,81117,1744240,21.34
AZ,b,1960,57,0.01399,0.01389,0.5,80518,1119,79958,1663123,20.66
AZ,b,1960,58,0.01444,0.01434,0.5,79399,1139,78830,1583165,19.94
AZ,b,1960,59,0.01514,0.01503,0.5,78261,1176,77673,1504335,19.22
AZ,b,1960,60,0.02008,0.01988,0.5,77085,1532,76319,1426662,18.51
AZ,b,1960,61,0.01826,0.01810,0.5,75552,1367,74869,1350344,17.87
AZ,b,1960,62,0.02039,0.02019,0.5,74185,1498,73436,1275475,17.19
AZ,b,1960,63,0.02101,0.02079,0.5,72687,1511,71932,1202039,16.54
AZ,b,1960,64,0.02526,0.02494,0.5,71176,1775,70288,1130107,15.88
AZ,b,1960,65,0.03080,0.03033,0.5,69401,2105,68348,1059819,15.27
AZ,b,1960,66,0.02604,0.02570,0.5,67296,1730,66431,991471,14.73
AZ,b,1960,67,0.03396,0.03339,0.5,65566,2190,64471,925040,14.11
AZ,b,1960,68,0.03104,0.03056,0.5,63377,1937,62408,860569,13.58
AZ,b,1960,69,0.02932,0.02890,0.5,61440,1775,60552,798161,12.99
AZ,b,1960,70,0.03510,0.03449,0.5,59664,2058,58635,737609,12.36
AZ,b,1960,71,0.03960,0.03883,0.5,57606,2237,56488,678973,11.79
AZ,b,1960,72,0.04470,0.04372,0.5,55369,2421,54159,622486,11.24
AZ,b,1960,73,0.04783,0.04671,0.5,52949,2473,51712,568327,10.73
AZ,b,1960,74,0.05434,0.05291,0.5,50475,2670,49140,516615,10.23
AZ,b,1960,75,0.05903,0.05733,0.5,47805,2741,46434,467475,9.78
AZ,b,1960,76,0.05466,0.05321,0.5,45064,2398,43865,421040,9.34
AZ,b,1960,77,0.06900,0.06670,0.5,42666,2846,41243,377175,8.84
AZ,b,1960,78,0.06448,0.06246,0.5,39820,2487,38577,335932,8.44
AZ,b,1960,79,0.08927,0.08545,0.5,37333,3190,35738,297355,7.96
AZ,b,1960,80,0.08326,0.07994,0.5,34143,2729,32778,261617,7.66
AZ,b,1960,81,0.08980,0.08594,0.5,31414,2700,30064,228839,7.28
AZ,b,1960,82,0.09680,0.09233,0.5,28714,2651,27388,198775,6.92
AZ,b,1960,83,0.10429,0.09912,0.5,26063,2583,24771,171386,6.58
AZ,b,1960,84,0.11230,0.10633,0.5,23479,2497,22231,146615,6.24
AZ,b,1960,85,0.12085,0.11397,0.5,20983,2391,19787,124384,5.93
AZ,b,1960,86,0.12997,0.12204,0.5,18591,2269,17457,104597,5.63
AZ,b,1960,87,0.13969,0.13057,0.5,16322,2131,15257,87140,5.34
AZ,b,1960,88,0.15001,0.13954,0.5,14191,1980,13201,71883,5.07
AZ,b,1960,89,0.16097,0.14898,0.5,12211,1819,11301,58682,4.81
AZ,b,1960,90,0.17258,0.15887,0.5,10392,1651,9566,47381,4.56
AZ,b,1960,91,0.18486,0.16922,0.5,8741,1479,8001,37814,4.33
AZ,b,1960,92,0.19782,0.18001,0.5,7262,1307,6608,29813,4.11
AZ,b,1960,93,0.21147,0.19125,0.5,5955,1139,5385,23205,3.90
AZ,b,1960,94,0.22581,0.20290,0.5,4816,977,4327,17820,3.70
AZ,b,1960,95,0.24085,0.21496,0.5,3839,825,3426,13492,3.51
AZ,b,1960,96,0.25658,0.22740,0.5,3013,685,2671,10066,3.34
AZ,b,1960,97,0.27298,0.24019,0.5,2328,559,2049,7395,3.18
AZ,b,1960,98,0.29004,0.25330,0.5,1769,448,1545,5347,3.02
AZ,b,1960,99,0.30773,0.26670,0.5,1321,352,1145,3802,2.88
AZ,b,1960,100,0.32603,0.28033,0.5,969,272,833,2657,2.74
AZ,b,1960,101,0.34489,0.29416,0.5,697,205,595,1824,2.62
AZ,b,1960,102,0.36427,0.30814,0.5,492,152,416,1230,2.50
AZ,b,1960,103,0.38411,0.32223,0.5,340,110,286,814,2.39
AZ,b,1960,104,0.40436,0.33636,0.5,231,78,192,528,2.29
AZ,b,1960,105,0.42496,0.35049,0.5,153,54,126,336,2.20
AZ,b,1960,106,0.44584,0.36457,0.5,99,36,81,210,2.11
AZ,b,1960,107,0.46692,0.37854,0.5,63,24,51,129,2.03
AZ,b,1960,108,0.48812,0.39236,0.5,39,15,32,77,1.97
AZ,b,1960,109,0.50938,0.40598,0.5,24,10,19,46,1.92
AZ,b,1960,110+,0.53061,1.00000,1.88,14,14,27,27,1.88
AZ,b,1961,0,0.03144,0.03061,0.14,100000,3061,97356,6943639,69.44
AZ,b,1961,1,0.00340,0.00340,0.5,96939,329,96774,6846283,70.62
AZ,b,1961,2,0.00158,0.00158,0.5,96610,153,96533,6749509,69.86
AZ,b,1961,3,0.00099,0.00099,0.5,96457,96,96409,6652975,68.97
AZ,b,1961,4,0.00063,0.00063,0.5,96361,61,96331,6556566,68.04
AZ,b,1961,5,0.00082,0.00082,0.5,96301,79,96261,6460235,67.08
AZ,b,1961,6,0.00055,0.00055,0.5,96222,53,96195,6363974,66.14
AZ,b,1961,7,0.00050,0.00050,0.5,96169,48,96145,6267779,65.17
AZ,b,1961,8,0.00032,0.00032,0.5,96121,31,96106,6171634,64.21
AZ,b,1961,9,0.00053,0.00053,0.5,96090,51,96065,6075528,63.23
AZ,b,1961,10,0.00021,0.00021,0.5,96039,20,96029,5979464,62.26
AZ,b,1961,11,0.00038,0.00038,0.5,96020,37,96001,5883434,61.27
AZ,b,1961,12,0.00032,0.00032,0.5,95983,30,95968,5787433,60.30
AZ,b,1961,13,0.00049,0.00049,0.5,95952,47,95929,5691465,59.32
AZ,b,1961,14,0.00066,0.00066,0.5,95905,63,95874,5595537,58.34
AZ,b,1961,15,0.00079,0.00079,0.5,95842,76,95804,5499663,57.38
AZ,b,1961,16,0.00109,0.00109,0.5,95766,104,95714,5403859,56.43
AZ,b,1961,17,0.00122,0.00122,0.5,95662,117,95603,5308145,55.49
AZ,b,1961,18,0.00145,0.00145,0.5,95545,139,95475,5212542,54.56
AZ,b,1961,19,0.00116,0.00116,0.5,95406,111,95351,5117066,53.63
AZ,b,1961,20,0.00110,0.00109,0.5,95295,104,95243,5021716,52.70
AZ,b,1961,21,0.00147,0.00147,0.5,95191,140,95121,4926472,51.75
AZ,b,1961,22,0.00195,0.00195,0.5,95051,185,94959,4831351,50.83
AZ,b,1961,23,0.00208,0.00208,0.5,94866,197,94767,4736393,49.93
AZ,b,1961,24,0.00196,0.00196,0.5,94669,185,94576,4641625,49.03
AZ,b,1961,25,0.00163,0.00163,0.5,94483,154,94407,4547049,48.13
AZ,b,1961,26,0.00135,0.00135,0.5,94330,128,94266,4452643,47.20
AZ,b,1961,27,0.00150,0.00150,0.5,94202,141,94132,4358376,46.27
AZ,b,1961,28,0.00171,0.00171,0.5,94061,161,93981,4264245,45.33
AZ,b,1961,29,0.00186,0.00186,0.5,93900,175,93813,4170264,44.41
AZ,b,1961,30,0.00253,0.00253,0.5,93725,237,93607,4076451,43.49
AZ,b,1961,31,0.00169,0.00169,0.5,93489,158,93410,3982844,42.60
AZ,b,1961,32,0.00234,0.00234,0.5,93331,218,93222,3889435,41.67
AZ,b,1961,33,0.00172,0.00172,0.5,93113,160,93033,3796213,40.77
AZ,b,1961,34,0.00171,0.00171,0.5,92953,159,92873,3703180,39.84
AZ,b,1961,35,0.00169,0.00169,0.5,92794,157,92716,3610307,38.91
AZ,b,1961,36,0.00330,0.00329,0.5,92637,305,92485,3517591,37.97
AZ,b,1961,37,0.00398,0.00398,0.5,92333,367,92149,3425106,37.10
AZ,b,1961,38,0.00305,0.00304,0.5,91965,280,91825,3332957,36.24
AZ,b,1961,39,0.00294,0.00293,0.5,91685,269,91551,3241131,35.35
AZ,b,1961,40,0.00377,0.00376,0.5,91417,344,91245,3149580,34.45
AZ,b,1961,41,0.00369,0.00368,0.5,91073,336,90905,3058336,33.58
AZ,b,1961,42,0.00318,0.00317,0.5,90737,288,90593,2967431,32.70
AZ,b,1961,43,0.00309,0.00308,0.5,90449,279,90310,2876838,31.81
AZ,b,1961,44,0.00432,0.00432,0.5,90170,389,89976,2786528,30.90
AZ,b,1961,45,0.00582,0.00580,0.5,89781,521,89521,2696552,30.03
AZ,b,1961,46,0.00537,0.00536,0.5,89260,478,89021,2607031,29.21
AZ,b,1961,47,0.00684,0.00682,0.5,88782,605,88479,2518011,28.36
AZ,b,1961,48,0.00766,0.00763,0.5,88177,672,87840,2429531,27.55
AZ,b,1961,49,0.00746,0.00743,0.5,87504,650,87179,2341691,26.76
AZ,b,1961,50,0.00901,0.00897,0.5,86854,779,86464,2254512,25.96
AZ,b,1961,51,0.00905,0.00900,0.5,86075,775,85687,2168048,25.19
AZ,b,1961,52,0.00789,0.00785,0.5,85300,670,84965,2082361,24.41
AZ,b,1961,53,0.01033,0.01027,0.5,84630,869,84195,1997396,23.60
AZ,b,1961,54,0.01049,0.01043,0.5,83760,874,83323,1913201,22.84
AZ,b,1961,55,0.01275,0.01267,0.5,82886,1050,82361,1829878,22.08
AZ,b,1961,56,0.01216,0.01209,0.5,81836,989,81341,1747517,21.35
AZ,b,1961,57,0.01478,0.01467,0.5,80847,1186,80254,1666176,20.61
AZ,b,1961,58,0.01525,0.01513,0.5,79661,1205,79058,1585922,19.91
AZ,b,1961,59,0.01657,0.01643,0.5,78456,1289,77811,1506864,19.21
AZ,b,1961,60,0.01799,0.01783,0.5,77166,1376,76478,1429053,18.52
AZ,b,1961,61,0.01753,0.01738,0.5,75790,1317,75132,1352574,17.85
AZ,b,1961,62,0.02224,0.02200,0.5,74474,1638,73654,1277442,17.15
AZ,b,1961,63,0.02358,0.02331,0.5,72835,1697,71986,1203788,16.53
AZ,b,1961,64,0.02533,0.02502,0.5,71138,1780,70248,1131802,15.91
AZ,b,1961,65,0.02693,0.02657,0.5,69358,1843,68437,1061554,15.31
AZ,b,1961,66,0.02927,0.02885,0.5,67515,1948,66541,993117,14.71
AZ,b,1961,67,0.02778,0.02740,0.5,65567,1796,64669,926576,14.13
AZ,b,1961,68,0.02984,0.02940,0.5,63771,1875,62833,861907,13.52
AZ,b,1961,69,0.03509,0.03449,0.5,61896,2135,60829,799074,12.91
AZ,b,1961,70,0.03858,0.03785,0.5,59761,2262,58630,738245,12.35
AZ,b,1961,71,0.04153,0.04068,0.5,57499,2339,56330,679615,11.82
AZ,b,1961,72,0.04505,0.04405,0.5,55160,2430,53945,623285,11.30
AZ,b,1961,73,0.04586,0.04483,0.5,52730,2364,51548,569340,10.80
AZ,b,1961,74,0.05173,0.05043,0.5,50366,2540,49096,517791,10.28
AZ,b,1961,75,0.06165,0.05980,0.5,47827,2860,46397,468695,9.80
AZ,b,1961,76,0.05415,0.05272,0.5,44966,2371,43781,422298,9.39
AZ,b,1961,77,0.06188,0.06002,0.5,42596,2557,41317,378517,8.89
AZ,b,1961,78,0.07820,0.07526,0.5,40039,3013,38532,337200,8.42
AZ,b,1961,79,0.07449,0.07181,0.5,37026,2659,35696,298667,8.07
AZ,b,1961,80,0.08344,0.08010,0.5,34367,2753,32990,262971,7.65
AZ,b,1961,81,0.09001,0.08613,0.5,31614,2723,30253,229981,7.27
AZ,b,1961,82,0.09704,0.09255,0.5,28891,2674,27554,199728,6.91
AZ,b,1961,83,0.10456,0.09936,0.5,26217,2605,24915,172174,6.57
AZ,b,1961,84,0.11259,0.10659,0.5,23612,2517,22354,147259,6.24
AZ,b,1961,85,0.12116,0.11424,0.5,21095,2410,19890,124905,5.92
AZ,b,1961,86,0.13030,0.12233,0.5,18685,2286,17542,105015,5.62
AZ,b,1961,87,0.14001,0.13085,0.5,16400,2146,15327,87473,5.33
AZ,b,1961,88,0.15033,0.13982,0.5,14254,1993,13257,72146,5.06
AZ,b,1961,89,0.16128,0.14924,0.5,12261,1830,11346,58889,4.80
AZ,b,1961,90,0.17286,0.15911,0.5,10431,1660,9601,47543,4.56
AZ,b,1961,91,0.18510,0.16942,0.5,8771,1486,8028,37942,4.33
AZ,b,1961,92,0.19801,0.18018,0.5,7285,1313,6629,29914,4.11
AZ,b,1961,93,0.21160,0.19136,0.5,5973,1143,5401,23285,3.90
AZ,b,1961,94,0.22587,0.20295,0.5,4830,980,4340,17883,3.70
AZ,b,1961,95,0.24082,0.21494,0.5,3850,827,3436,13544,3.52
AZ,b,1961,96,0.25644,0.22729,0.5,3022,687,2679,10108,3.34
AZ,b,1961,97,0.27272,0.23999,0.5,2335,560,2055,7429,3.18
AZ,b,1961,98,0.28965,0.25301,0.5,1775,449,1550,5374,3.03
AZ,b,1961,99,0.30720,0.26630,0.5,1326,353,1149,3824,2.88
AZ,b,1961,100,0.32535,0.27983,0.5,973,272,837,2675,2.75
AZ,b,1961,101,0.34405,0.29355,0.5,701,206,598,1838,2.62
AZ,b,1961,102,0.36327,0.30743,0.5,495,152,419,1241,2.51
AZ,b,1961,103,0.38295,0.32141,0.5,343,110,288,822,2.40
AZ,b,1961,104,0.40304,0.33544,0.5,233,78,194,534,2.30
AZ,b,1961,105,0.42349,0.34949,0.5,155,54,128,340,2.20
AZ,b,1961,106,0.44422,0.36349,0.5,101,37,82,213,2.12
AZ,b,1961,107,0.46517,0.37739,0.5,64,24,52,131,2.04
AZ,b,1961,108,0.48626,0.39116,0.5,40,16,32,79,1.98
AZ,b,1961,109,0.50743,0.40474,0.5,24,10,19,47,1.92
AZ,b,1961,110+,0.52859,1.00000,1.89,14,14,27,27,1.89
AZ,b,1962,0,0.02947,0.02874,0.13,100000,2874,97502,6938443,69.38
AZ,b,1962,1,0.00276,0.00275,0.5,97126,267,96993,6840941,70.43
AZ,b,1962,2,0.00143,0.00143,0.5,96859,138,96790,6743948,69.63
AZ,b,1962,3,0.00111,0.00111,0.5,96721,107,96667,6647158,68.73
AZ,b,1962,4,0.00069,0.00069,0.5,96614,67,96580,6550491,67.80
AZ,b,1962,5,0.00080,0.00079,0.5,96547,77,96508,6453911,66.85
AZ,b,1962,6,0.00066,0.00066,0.5,96470,64,96438,6357402,65.90
AZ,b,1962,7,0.00060,0.00060,0.5,96407,58,96378,6260964,64.94
AZ,b,1962,8,0.00040,0.00040,0.5,96348,38,96329,6164586,63.98
AZ,b,1962,9,0.00044,0.00044,0.5,96310,42,96289,6068257,63.01
