PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
DC,b,1959,0,0.04438,0.04281,0.17,100000,4281,96451,6609693,66.10
DC,b,1959,1,0.00204,0.00204,0.5,95719,195,95622,6513242,68.05
DC,b,1959,2,0.00148,0.00148,0.5,95524,141,95453,6417621,67.18
DC,b,1959,3,0.00082,0.00082,0.5,95383,78,95344,6322168,66.28
DC,b,1959,4,0.00078,0.00078,0.5,95304,74,95267,6226824,65.34
DC,b,1959,5,0.00045,0.00045,0.5,95230,43,95209,6131557,64.39
DC,b,1959,6,0.00062,0.00062,0.5,95188,59,95158,6036348,63.42
DC,b,1959,7,0.00058,0.00058,0.5,95129,55,95101,5941189,62.45
DC,b,1959,8,0.00043,0.00043,0.5,95073,41,95053,5846088,61.49
DC,b,1959,9,0.00034,0.00034,0.5,95033,33,95016,5751035,60.52
DC,b,1959,10,0.00053,0.00053,0.5,95000,50,94975,5656019,59.54
DC,b,1959,11,0.00036,0.00036,0.5,94950,35,94932,5561044,58.57
DC,b,1959,12,0.00068,0.00068,0.5,94915,65,94883,5466111,57.59
DC,b,1959,13,0.00033,0.00033,0.5,94850,31,94835,5371229,56.63
DC,b,1959,14,0.00024,0.00024,0.5,94819,22,94808,5276394,55.65
DC,b,1959,15,0.00058,0.00058,0.5,94796,55,94769,5181586,54.66
DC,b,1959,16,0.00043,0.00043,0.5,94742,41,94722,5086817,53.69
DC,b,1959,17,0.00028,0.00028,0.5,94701,27,94688,4992096,52.71
DC,b,1959,18,0.00096,0.00096,0.5,94674,91,94629,4897408,51.73
DC,b,1959,19,0.00085,0.00085,0.5,94584,81,94543,4802779,50.78
DC,b,1959,20,0.00050,0.00050,0.5,94503,47,94479,4708236,49.82
DC,b,1959,21,0.00100,0.00100,0.5,94455,94,94408,4613756,48.85
DC,b,1959,22,0.00126,0.00126,0.5,94361,119,94302,4519348,47.89
DC,b,1959,23,0.00075,0.00075,0.5,94243,71,94207,4425046,46.95
DC,b,1959,24,0.00119,0.00119,0.5,94172,112,94116,4330838,45.99
DC,b,1959,25,0.00133,0.00133,0.5,94060,125,93998,4236722,45.04
DC,b,1959,26,0.00171,0.00171,0.5,93936,161,93855,4142724,44.10
DC,b,1959,27,0.00176,0.00176,0.5,93775,165,93693,4048869,43.18
DC,b,1959,28,0.00178,0.00178,0.5,93610,166,93527,3955176,42.25
DC,b,1959,29,0.00208,0.00208,0.5,93444,194,93347,3861649,41.33
DC,b,1959,30,0.00267,0.00267,0.5,93250,249,93125,3768303,40.41
DC,b,1959,31,0.00197,0.00197,0.5,93001,183,92909,3675178,39.52
DC,b,1959,32,0.00365,0.00364,0.5,92818,338,92649,3582268,38.59
DC,b,1959,33,0.00366,0.00365,0.5,92480,338,92311,3489619,37.73
DC,b,1959,34,0.00304,0.00303,0.5,92142,279,92002,3397308,36.87
DC,b,1959,35,0.00431,0.00430,0.5,91863,395,91665,3305306,35.98
DC,b,1959,36,0.00408,0.00408,0.5,91468,373,91282,3213641,35.13
DC,b,1959,37,0.00486,0.00484,0.5,91095,441,90874,3122359,34.28
DC,b,1959,38,0.00449,0.00448,0.5,90654,406,90451,3031485,33.44
DC,b,1959,39,0.00511,0.00509,0.5,90248,460,90018,2941034,32.59
DC,b,1959,40,0.00501,0.00500,0.5,89788,448,89564,2851016,31.75
DC,b,1959,41,0.00572,0.00570,0.5,89340,509,89085,2761452,30.91
DC,b,1959,42,0.00735,0.00732,0.5,88830,650,88505,2672368,30.08
DC,b,1959,43,0.00772,0.00769,0.5,88180,678,87841,2583862,29.30
DC,b,1959,44,0.00615,0.00613,0.5,87502,536,87234,2496021,28.53
DC,b,1959,45,0.00780,0.00777,0.5,86966,676,86628,2408787,27.70
DC,b,1959,46,0.00729,0.00726,0.5,86290,626,85977,2322160,26.91
DC,b,1959,47,0.00967,0.00962,0.5,85663,824,85251,2236183,26.10
DC,b,1959,48,0.01127,0.01120,0.5,84839,950,84364,2150932,25.35
DC,b,1959,49,0.01115,0.01109,0.5,83889,930,83424,2066567,24.63
DC,b,1959,50,0.01198,0.01191,0.5,82959,988,82465,1983144,23.91
DC,b,1959,51,0.01308,0.01300,0.5,81971,1065,81438,1900679,23.19
DC,b,1959,52,0.01099,0.01093,0.5,80905,884,80463,1819241,22.49
DC,b,1959,53,0.01358,0.01349,0.5,80021,1079,79482,1738777,21.73
DC,b,1959,54,0.01486,0.01475,0.5,78942,1165,78360,1659296,21.02
DC,b,1959,55,0.01590,0.01577,0.5,77777,1227,77164,1580936,20.33
DC,b,1959,56,0.01617,0.01604,0.5,76551,1228,75937,1503772,19.64
DC,b,1959,57,0.01422,0.01412,0.5,75322,1064,74791,1427836,18.96
DC,b,1959,58,0.02290,0.02264,0.5,74259,1681,73418,1353045,18.22
DC,b,1959,59,0.02134,0.02111,0.5,72578,1532,71812,1279627,17.63
DC,b,1959,60,0.01917,0.01899,0.5,71045,1349,70371,1207815,17.00
DC,b,1959,61,0.02140,0.02117,0.5,69696,1476,68959,1137444,16.32
DC,b,1959,62,0.02781,0.02743,0.5,68221,1871,67285,1068486,15.66
DC,b,1959,63,0.02777,0.02739,0.5,66350,1817,65441,1001201,15.09
DC,b,1959,64,0.02820,0.02781,0.5,64532,1794,63635,935760,14.50
DC,b,1959,65,0.03291,0.03238,0.5,62738,2031,61722,872125,13.90
DC,b,1959,66,0.03428,0.03370,0.5,60706,2046,59684,810402,13.35
DC,b,1959,67,0.03362,0.03306,0.5,58661,1939,57691,750719,12.80
DC,b,1959,68,0.03820,0.03749,0.5,56721,2126,55658,693028,12.22
DC,b,1959,69,0.03982,0.03904,0.5,54595,2132,53529,637370,11.67
DC,b,1959,70,0.04698,0.04590,0.5,52464,2408,51260,583840,11.13
DC,b,1959,71,0.04516,0.04417,0.5,50056,2211,48950,532581,10.64
DC,b,1959,72,0.05107,0.04980,0.5,47845,2382,46654,483630,10.11
DC,b,1959,73,0.05590,0.05438,0.5,45462,2472,44226,436977,9.61
DC,b,1959,74,0.05647,0.05492,0.5,42990,2361,41810,392750,9.14
DC,b,1959,75,0.06521,0.06315,0.5,40629,2566,39346,350941,8.64
DC,b,1959,76,0.06701,0.06484,0.5,38063,2468,36829,311595,8.19
DC,b,1959,77,0.06911,0.06680,0.5,35595,2378,34406,274765,7.72
DC,b,1959,78,0.08030,0.07720,0.5,33217,2564,31935,240359,7.24
DC,b,1959,79,0.09724,0.09273,0.5,30653,2842,29232,208424,6.80
DC,b,1959,80,0.10823,0.10268,0.5,27811,2855,26383,179192,6.44
DC,b,1959,81,0.11626,0.10987,0.5,24955,2742,23584,152809,6.12
DC,b,1959,82,0.12482,0.11749,0.5,22213,2610,20908,129225,5.82
DC,b,1959,83,0.13395,0.12554,0.5,19603,2461,18373,108317,5.53
DC,b,1959,84,0.14367,0.13404,0.5,17142,2298,15993,89944,5.25
DC,b,1959,85,0.15400,0.14299,0.5,14845,2123,13783,73951,4.98
DC,b,1959,86,0.16496,0.15239,0.5,12722,1939,11753,60167,4.73
DC,b,1959,87,0.17657,0.16225,0.5,10783,1750,9908,48415,4.49
DC,b,1959,88,0.18886,0.17256,0.5,9034,1559,8254,38506,4.26
DC,b,1959,89,0.20183,0.18333,0.5,7475,1370,6790,30252,4.05
DC,b,1959,90,0.21550,0.19454,0.5,6104,1188,5511,23462,3.84
DC,b,1959,91,0.22987,0.20617,0.5,4917,1014,4410,17952,3.65
DC,b,1959,92,0.24494,0.21822,0.5,3903,852,3477,13542,3.47
DC,b,1959,93,0.26072,0.23065,0.5,3051,704,2700,10064,3.30
DC,b,1959,94,0.27719,0.24345,0.5,2348,572,2062,7365,3.14
DC,b,1959,95,0.29433,0.25657,0.5,1776,456,1548,5303,2.99
DC,b,1959,96,0.31212,0.26999,0.5,1320,356,1142,3755,2.84
DC,b,1959,97,0.33054,0.28366,0.5,964,273,827,2612,2.71
DC,b,1959,98,0.34954,0.29754,0.5,691,205,588,1785,2.59
DC,b,1959,99,0.36908,0.31158,0.5,485,151,409,1197,2.47
DC,b,1959,100,0.38911,0.32573,0.5,334,109,280,788,2.36
DC,b,1959,101,0.40956,0.33995,0.5,225,77,187,508,2.26
DC,b,1959,102,0.43039,0.35417,0.5,149,53,122,321,2.16
DC,b,1959,103,0.45151,0.36835,0.5,96,35,78,199,2.07
DC,b,1959,104,0.47284,0.38243,0.5,61,23,49,121,1.99
DC,b,1959,105,0.49433,0.39636,0.5,37,15,30,72,1.92
DC,b,1959,106,0.51587,0.41009,0.5,23,9,18,42,1.85
DC,b,1959,107,0.53739,0.42358,0.5,13,6,11,24,1.79
DC,b,1959,108,0.55881,0.43678,0.5,8,3,6,13,1.73
DC,b,1959,109,0.58005,0.44964,0.5,4,2,3,7,1.69
DC,b,1959,110+,0.60103,1.00000,1.66,2,2,4,4,1.66
DC,b,1960,0,0.04102,0.03966,0.16,100000,3966,96674,6632167,66.32
DC,b,1960,1,0.00220,0.00220,0.5,96034,211,95928,6535493,68.05
DC,b,1960,2,0.00071,0.00071,0.5,95823,68,95789,6439565,67.20
DC,b,1960,3,0.00122,0.00122,0.5,95755,117,95696,6343776,66.25
DC,b,1960,4,0.00034,0.00034,0.5,95638,33,95622,6248079,65.33
DC,b,1960,5,0.00100,0.00099,0.5,95605,95,95558,6152458,64.35
DC,b,1960,6,0.00052,0.00052,0.5,95510,50,95485,6056900,63.42
DC,b,1960,7,0.00078,0.00078,0.5,95460,75,95423,5961415,62.45
DC,b,1960,8,0.00066,0.00066,0.5,95386,63,95354,5865992,61.50
DC,b,1960,9,0.00068,0.00068,0.5,95322,65,95290,5770638,60.54
DC,b,1960,10,0.00051,0.00051,0.5,95258,49,95233,5675348,59.58
DC,b,1960,11,0.00035,0.00035,0.5,95209,33,95192,5580115,58.61
DC,b,1960,12,0.00080,0.00080,0.5,95176,77,95138,5484923,57.63
DC,b,1960,13,0.00038,0.00038,0.5,95099,36,95081,5389785,56.68
DC,b,1960,14,0.00087,0.00086,0.5,95063,82,95022,5294704,55.70
DC,b,1960,15,0.00035,0.00035,0.5,94981,33,94964,5199682,54.74
DC,b,1960,16,0.00124,0.00124,0.5,94948,118,94889,5104718,53.76
DC,b,1960,17,0.00053,0.00052,0.5,94830,50,94805,5009829,52.83
DC,b,1960,18,0.00130,0.00130,0.5,94780,124,94719,4915024,51.86
DC,b,1960,19,0.00078,0.00078,0.5,94657,74,94620,4820305,50.92
DC,b,1960,20,0.00120,0.00120,0.5,94583,113,94526,4725685,49.96
DC,b,1960,21,0.00143,0.00143,0.5,94470,135,94402,4631159,49.02
DC,b,1960,22,0.00084,0.00084,0.5,94335,79,94295,4536757,48.09
DC,b,1960,23,0.00118,0.00118,0.5,94256,111,94200,4442461,47.13
DC,b,1960,24,0.00093,0.00093,0.5,94145,87,94101,4348261,46.19
DC,b,1960,25,0.00180,0.00180,0.5,94057,169,93973,4254160,45.23
DC,b,1960,26,0.00143,0.00143,0.5,93888,134,93821,4160187,44.31
DC,b,1960,27,0.00218,0.00218,0.5,93754,205,93652,4066366,43.37
DC,b,1960,28,0.00131,0.00131,0.5,93550,123,93488,3972714,42.47
DC,b,1960,29,0.00255,0.00255,0.5,93427,238,93308,3879226,41.52
DC,b,1960,30,0.00219,0.00219,0.5,93189,204,93087,3785918,40.63
DC,b,1960,31,0.00176,0.00176,0.5,92985,164,92903,3692831,39.71
DC,b,1960,32,0.00189,0.00189,0.5,92822,176,92734,3599927,38.78
DC,b,1960,33,0.00226,0.00226,0.5,92646,210,92541,3507193,37.86
DC,b,1960,34,0.00397,0.00396,0.5,92436,366,92253,3414652,36.94
DC,b,1960,35,0.00352,0.00351,0.5,92070,323,91908,3322399,36.09
DC,b,1960,36,0.00390,0.00389,0.5,91746,357,91568,3230491,35.21
DC,b,1960,37,0.00293,0.00293,0.5,91390,268,91256,3138923,34.35
DC,b,1960,38,0.00471,0.00470,0.5,91122,428,90908,3047668,33.45
DC,b,1960,39,0.00499,0.00498,0.5,90694,451,90468,2956760,32.60
DC,b,1960,40,0.00616,0.00614,0.5,90242,554,89965,2866292,31.76
DC,b,1960,41,0.00619,0.00617,0.5,89688,554,89411,2776327,30.96
DC,b,1960,42,0.00721,0.00718,0.5,89135,640,88815,2686915,30.14
DC,b,1960,43,0.00815,0.00812,0.5,88495,718,88135,2598101,29.36
DC,b,1960,44,0.00860,0.00857,0.5,87776,752,87400,2509965,28.60
DC,b,1960,45,0.00738,0.00736,0.5,87024,640,86704,2422565,27.84
DC,b,1960,46,0.00879,0.00875,0.5,86384,756,86006,2335862,27.04
DC,b,1960,47,0.01103,0.01097,0.5,85628,939,85158,2249856,26.27
DC,b,1960,48,0.01151,0.01144,0.5,84689,969,84204,2164698,25.56
DC,b,1960,49,0.01046,0.01041,0.5,83720,871,83284,2080493,24.85
DC,b,1960,50,0.01212,0.01205,0.5,82848,998,82349,1997210,24.11
DC,b,1960,51,0.01096,0.01090,0.5,81850,892,81404,1914860,23.39
DC,b,1960,52,0.01416,0.01406,0.5,80958,1138,80389,1833456,22.65
DC,b,1960,53,0.01365,0.01356,0.5,79820,1082,79279,1753067,21.96
DC,b,1960,54,0.01386,0.01376,0.5,78738,1084,78196,1673788,21.26
DC,b,1960,55,0.01632,0.01619,0.5,77654,1257,77026,1595591,20.55
DC,b,1960,56,0.01615,0.01602,0.5,76397,1224,75785,1518566,19.88
DC,b,1960,57,0.02056,0.02035,0.5,75173,1529,74408,1442780,19.19
DC,b,1960,58,0.01754,0.01739,0.5,73644,1281,73003,1368372,18.58
DC,b,1960,59,0.02503,0.02472,0.5,72363,1789,71469,1295368,17.90
DC,b,1960,60,0.02185,0.02162,0.5,70574,1526,69811,1223900,17.34
DC,b,1960,61,0.01843,0.01826,0.5,69049,1261,68418,1154088,16.71
DC,b,1960,62,0.02641,0.02607,0.5,67788,1767,66904,1085670,16.02
DC,b,1960,63,0.02659,0.02624,0.5,66021,1732,65155,1018766,15.43
DC,b,1960,64,0.02811,0.02772,0.5,64288,1782,63397,953611,14.83
DC,b,1960,65,0.02959,0.02915,0.5,62507,1822,61595,890214,14.24
DC,b,1960,66,0.02775,0.02737,0.5,60684,1661,59854,828618,13.65
DC,b,1960,67,0.03415,0.03358,0.5,59023,1982,58033,768765,13.02
DC,b,1960,68,0.03708,0.03641,0.5,57042,2077,56003,710732,12.46
DC,b,1960,69,0.04192,0.04106,0.5,54965,2257,53836,654729,11.91
DC,b,1960,70,0.04882,0.04766,0.5,52708,2512,51452,600892,11.40
DC,b,1960,71,0.03919,0.03844,0.5,50196,1929,49231,549440,10.95
DC,b,1960,72,0.05235,0.05102,0.5,48266,2462,47035,500209,10.36
DC,b,1960,73,0.05187,0.05056,0.5,45804,2316,44646,453174,9.89
DC,b,1960,74,0.04940,0.04821,0.5,43488,2097,42440,408528,9.39
DC,b,1960,75,0.06603,0.06392,0.5,41392,2646,40069,366088,8.84
DC,b,1960,76,0.07922,0.07621,0.5,38746,2953,37269,326020,8.41
DC,b,1960,77,0.06447,0.06245,0.5,35793,2235,34675,288750,8.07
DC,b,1960,78,0.07970,0.07665,0.5,33558,2572,32272,254075,7.57
DC,b,1960,79,0.08296,0.07966,0.5,30986,2468,29751,221803,7.16
DC,b,1960,80,0.09900,0.09433,0.5,28517,2690,27172,192052,6.73
DC,b,1960,81,0.10702,0.10159,0.5,25827,2624,24515,164880,6.38
DC,b,1960,82,0.11563,0.10931,0.5,23204,2536,21935,140364,6.05
DC,b,1960,83,0.12484,0.11751,0.5,20667,2429,19453,118429,5.73
DC,b,1960,84,0.13470,0.12620,0.5,18239,2302,17088,98976,5.43
DC,b,1960,85,0.14521,0.13538,0.5,15937,2158,14858,81888,5.14
DC,b,1960,86,0.15642,0.14508,0.5,13779,1999,12780,67030,4.86
DC,b,1960,87,0.16835,0.15528,0.5,11780,1829,10866,54250,4.61
DC,b,1960,88,0.18101,0.16599,0.5,9951,1652,9125,43384,4.36
DC,b,1960,89,0.19442,0.17720,0.5,8299,1471,7564,34259,4.13
DC,b,1960,90,0.20860,0.18890,0.5,6829,1290,6184,26695,3.91
DC,b,1960,91,0.22355,0.20108,0.5,5539,1114,4982,20511,3.70
DC,b,1960,92,0.23928,0.21371,0.5,4425,946,3952,15529,3.51
DC,b,1960,93,0.25578,0.22678,0.5,3479,789,3085,11577,3.33
DC,b,1960,94,0.27304,0.24024,0.5,2690,646,2367,8492,3.16
DC,b,1960,95,0.29103,0.25406,0.5,2044,519,1784,6125,3.00
DC,b,1960,96,0.30974,0.26820,0.5,1525,409,1320,4341,2.85
DC,b,1960,97,0.32913,0.28262,0.5,1116,315,958,3021,2.71
DC,b,1960,98,0.34914,0.29725,0.5,800,238,681,2063,2.58
DC,b,1960,99,0.36974,0.31205,0.5,562,176,475,1381,2.46
DC,b,1960,100,0.39086,0.32696,0.5,387,127,324,906,2.34
DC,b,1960,101,0.41243,0.34192,0.5,260,89,216,583,2.24
DC,b,1960,102,0.43437,0.35687,0.5,171,61,141,367,2.14
DC,b,1960,103,0.45661,0.37174,0.5,110,41,90,226,2.05
DC,b,1960,104,0.47905,0.38648,0.5,69,27,56,136,1.97
DC,b,1960,105,0.50161,0.40103,0.5,42,17,34,80,1.89
DC,b,1960,106,0.52419,0.41533,0.5,25,11,20,46,1.82
DC,b,1960,107,0.54671,0.42934,0.5,15,6,12,26,1.76
DC,b,1960,108,0.56906,0.44301,0.5,8,4,7,14,1.70
DC,b,1960,109,0.59116,0.45629,0.5,5,2,4,8,1.66
DC,b,1960,110+,0.61292,1.00000,1.63,3,3,4,4,1.63
DC,b,1961,0,0.03839,0.03718,0.15,100000,3718,96855,6653527,66.54
DC,b,1961,1,0.00170,0.00170,0.5,96282,164,96200,6556672,68.10
DC,b,1961,2,0.00106,0.00106,0.5,96118,102,96067,6460472,67.21
DC,b,1961,3,0.00085,0.00085,0.5,96016,82,95975,6364404,66.28
DC,b,1961,4,0.00089,0.00089,0.5,95934,86,95892,6268429,65.34
DC,b,1961,5,0.00070,0.00070,0.5,95849,67,95815,6172537,64.40
DC,b,1961,6,0.00029,0.00029,0.5,95782,28,95768,6076722,63.44
DC,b,1961,7,0.00053,0.00053,0.5,95755,51,95729,5980954,62.46
DC,b,1961,8,0.00008,0.00008,0.5,95704,8,95700,5885224,61.49
DC,b,1961,9,0.00033,0.00033,0.5,95697,31,95681,5789524,60.50
DC,b,1961,10,0.00016,0.00016,0.5,95665,16,95657,5693843,59.52
DC,b,1961,11,0.00008,0.00008,0.5,95649,8,95645,5598186,58.53
DC,b,1961,12,0.00025,0.00025,0.5,95641,24,95629,5502541,57.53
DC,b,1961,13,0.00017,0.00017,0.5,95617,16,95609,5406911,56.55
DC,b,1961,14,0.00055,0.00055,0.5,95601,52,95575,5311302,55.56
DC,b,1961,15,0.00061,0.00061,0.5,95549,59,95519,5215727,54.59
DC,b,1961,16,0.00066,0.00066,0.5,95490,63,95459,5120208,53.62
DC,b,1961,17,0.00128,0.00128,0.5,95428,123,95366,5024749,52.66
DC,b,1961,18,0.00111,0.00111,0.5,95305,106,95252,4929383,51.72
DC,b,1961,19,0.00110,0.00110,0.5,95199,104,95147,4834130,50.78
DC,b,1961,20,0.00087,0.00087,0.5,95095,82,95053,4738984,49.83
DC,b,1961,21,0.00069,0.00069,0.5,95012,65,94980,4643930,48.88
DC,b,1961,22,0.00119,0.00119,0.5,94947,113,94891,4548951,47.91
DC,b,1961,23,0.00119,0.00119,0.5,94834,113,94778,4454060,46.97
DC,b,1961,24,0.00138,0.00138,0.5,94721,131,94656,4359282,46.02
DC,b,1961,25,0.00112,0.00112,0.5,94590,106,94537,4264627,45.09
DC,b,1961,26,0.00114,0.00114,0.5,94484,108,94430,4170090,44.14
DC,b,1961,27,0.00219,0.00219,0.5,94376,207,94273,4075660,43.19
DC,b,1961,28,0.00214,0.00214,0.5,94170,201,94069,3981387,42.28
DC,b,1961,29,0.00172,0.00172,0.5,93969,161,93888,3887317,41.37
DC,b,1961,30,0.00183,0.00182,0.5,93807,171,93722,3793429,40.44
DC,b,1961,31,0.00334,0.00333,0.5,93636,312,93480,3699708,39.51
DC,b,1961,32,0.00302,0.00302,0.5,93324,282,93184,3606227,38.64
DC,b,1961,33,0.00289,0.00289,0.5,93043,269,92908,3513044,37.76
DC,b,1961,34,0.00336,0.00336,0.5,92774,311,92618,3420135,36.87
DC,b,1961,35,0.00423,0.00422,0.5,92462,390,92267,3327517,35.99
DC,b,1961,36,0.00497,0.00495,0.5,92072,456,91844,3235250,35.14
DC,b,1961,37,0.00434,0.00433,0.5,91616,397,91417,3143406,34.31
DC,b,1961,38,0.00410,0.00409,0.5,91219,373,91033,3051988,33.46
DC,b,1961,39,0.00601,0.00599,0.5,90846,544,90574,2960956,32.59
DC,b,1961,40,0.00610,0.00608,0.5,90302,549,90028,2870382,31.79
DC,b,1961,41,0.00608,0.00606,0.5,89753,544,89481,2780354,30.98
DC,b,1961,42,0.00678,0.00676,0.5,89209,603,88908,2690873,30.16
DC,b,1961,43,0.00671,0.00669,0.5,88606,593,88310,2601965,29.37
DC,b,1961,44,0.00714,0.00712,0.5,88013,626,87700,2513656,28.56
DC,b,1961,45,0.00879,0.00875,0.5,87387,764,87005,2425955,27.76
DC,b,1961,46,0.00842,0.00839,0.5,86623,726,86259,2338951,27.00
DC,b,1961,47,0.00917,0.00913,0.5,85896,784,85504,2252691,26.23
DC,b,1961,48,0.00937,0.00933,0.5,85112,794,84715,2167187,25.46
DC,b,1961,49,0.01058,0.01053,0.5,84318,888,83874,2082472,24.70
DC,b,1961,50,0.01364,0.01355,0.5,83430,1131,82865,1998598,23.96
DC,b,1961,51,0.01130,0.01123,0.5,82300,925,81837,1915733,23.28
DC,b,1961,52,0.01419,0.01409,0.5,81375,1147,80802,1833896,22.54
DC,b,1961,53,0.01315,0.01307,0.5,80228,1048,79704,1753094,21.85
DC,b,1961,54,0.01690,0.01676,0.5,79180,1327,78516,1673390,21.13
DC,b,1961,55,0.01553,0.01541,0.5,77853,1200,77253,1594873,20.49
DC,b,1961,56,0.01780,0.01764,0.5,76653,1352,75977,1517620,19.80
DC,b,1961,57,0.02133,0.02110,0.5,75301,1589,74507,1441643,19.15
DC,b,1961,58,0.01948,0.01929,0.5,73712,1422,73001,1367137,18.55
DC,b,1961,59,0.02060,0.02039,0.5,72290,1474,71553,1294135,17.90
DC,b,1961,60,0.02351,0.02323,0.5,70816,1645,69993,1222582,17.26
DC,b,1961,61,0.02539,0.02507,0.5,69171,1734,68304,1152589,16.66
DC,b,1961,62,0.02364,0.02336,0.5,67436,1575,66649,1084285,16.08
DC,b,1961,63,0.02593,0.02559,0.5,65861,1686,65018,1017636,15.45
DC,b,1961,64,0.02821,0.02781,0.5,64175,1785,63283,952618,14.84
DC,b,1961,65,0.03369,0.03314,0.5,62390,2067,61357,889335,14.25
DC,b,1961,66,0.03187,0.03137,0.5,60323,1892,59377,827979,13.73
DC,b,1961,67,0.03925,0.03850,0.5,58431,2250,57306,768602,13.15
DC,b,1961,68,0.03268,0.03216,0.5,56181,1807,55278,711296,12.66
DC,b,1961,69,0.03984,0.03906,0.5,54375,2124,53313,656018,12.06
DC,b,1961,70,0.04542,0.04441,0.5,52251,2320,51090,602705,11.53
DC,b,1961,71,0.03854,0.03781,0.5,49930,1888,48986,551615,11.05
DC,b,1961,72,0.05483,0.05337,0.5,48042,2564,46760,502629,10.46
DC,b,1961,73,0.05222,0.05089,0.5,45478,2314,44321,455869,10.02
DC,b,1961,74,0.05417,0.05274,0.5,43164,2276,42026,411547,9.53
DC,b,1961,75,0.06588,0.06378,0.5,40888,2608,39584,369522,9.04
DC,b,1961,76,0.05870,0.05703,0.5,38280,2183,37188,329938,8.62
DC,b,1961,77,0.05776,0.05614,0.5,36097,2026,35084,292749,8.11
DC,b,1961,78,0.08172,0.07851,0.5,34070,2675,32733,257666,7.56
DC,b,1961,79,0.07849,0.07553,0.5,31395,2371,30210,224933,7.16
DC,b,1961,80,0.10403,0.09888,0.5,29024,2870,27589,194723,6.71
DC,b,1961,81,0.11132,0.10545,0.5,26154,2758,24775,167134,6.39
DC,b,1961,82,0.11909,0.11240,0.5,23396,2630,22081,142359,6.08
DC,b,1961,83,0.12737,0.11974,0.5,20767,2487,19523,120277,5.79
DC,b,1961,84,0.13617,0.12749,0.5,18280,2330,17115,100754,5.51
DC,b,1961,85,0.14552,0.13565,0.5,15949,2164,14868,83639,5.24
DC,b,1961,86,0.15543,0.14423,0.5,13786,1988,12792,68772,4.99
DC,b,1961,87,0.16594,0.15323,0.5,11798,1808,10894,55980,4.75
DC,b,1961,88,0.17706,0.16266,0.5,9990,1625,9177,45086,4.51
DC,b,1961,89,0.18880,0.17251,0.5,8365,1443,7643,35909,4.29
DC,b,1961,90,0.20117,0.18279,0.5,6922,1265,6289,28265,4.08
DC,b,1961,91,0.21419,0.19347,0.5,5657,1094,5109,21976,3.88
DC,b,1961,92,0.22787,0.20456,0.5,4562,933,4096,16866,3.70
DC,b,1961,93,0.24220,0.21604,0.5,3629,784,3237,12771,3.52
DC,b,1961,94,0.25719,0.22788,0.5,2845,648,2521,9534,3.35
DC,b,1961,95,0.27282,0.24007,0.5,2197,527,1933,7013,3.19
DC,b,1961,96,0.28908,0.25257,0.5,1669,422,1458,5080,3.04
DC,b,1961,97,0.30596,0.26536,0.5,1248,331,1082,3621,2.90
DC,b,1961,98,0.32342,0.27840,0.5,917,255,789,2539,2.77
DC,b,1961,99,0.34143,0.29164,0.5,661,193,565,1750,2.65
DC,b,1961,100,0.35996,0.30506,0.5,469,143,397,1185,2.53
DC,b,1961,101,0.37896,0.31860,0.5,326,104,274,788,2.42
DC,b,1961,102,0.39839,0.33221,0.5,222,74,185,515,2.32
DC,b,1961,103,0.41818,0.34586,0.5,148,51,123,330,2.22
DC,b,1961,104,0.43827,0.35949,0.5,97,35,79,207,2.14
DC,b,1961,105,0.45860,0.37306,0.5,62,23,50,128,2.06
DC,b,1961,106,0.47911,0.38652,0.5,39,15,31,77,1.98
DC,b,1961,107,0.49971,0.39982,0.5,24,10,19,46,1.91
DC,b,1961,108,0.52035,0.41292,0.5,14,6,11,27,1.86
DC,b,1961,109,0.54094,0.42578,0.5,8,4,7,15,1.81
DC,b,1961,110+,0.56141,1.00000,1.78,5,5,9,9,1.78
DC,b,1962,0,0.03633,0.03524,0.15,100000,3524,97000,6662541,66.63
DC,b,1962,1,0.00133,0.00133,0.5,96476,128,96412,6565541,68.05
DC,b,1962,2,0.00072,0.00072,0.5,96348,70,96313,6469129,67.14
DC,b,1962,3,0.00064,0.00064,0.5,96278,61,96247,6372816,66.19
DC,b,1962,4,0.00027,0.00027,0.5,96217,26,96204,6276569,65.23
DC,b,1962,5,0.00063,0.00063,0.5,96191,60,96161,6180365,64.25
DC,b,1962,6,0.00064,0.00064,0.5,96131,61,96100,6084204,63.29
DC,b,1962,7,0.00051,0.00051,0.5,96070,49,96045,5988104,62.33
DC,b,1962,8,0.00023,0.00023,0.5,96021,22,96010,5892059,61.36
DC,b,1962,9,0.00055,0.00055,0.5,95999,53,95972,5796049,60.38
DC,b,1962,10,0.00033,0.00033,0.5,95946,31,95930,5700077,59.41
DC,b,1962,11,0.00048,0.00048,0.5,95914,46,95891,5604147,58.43
DC,b,1962,12,0.00048,0.00048,0.5,95868,46,95845,5508256,57.46
DC,b,1962,13,0.00040,0.00040,0.5,95823,38,95803,5412410,56.48
DC,b,1962,14,0.00033,0.00033,0.5,95784,31,95769,5316607,55.51
DC,b,1962,15,0.00078,0.00078,0.5,95753,74,95716,5220838,54.52
DC,b,1962,16,0.00029,0.00029,0.5,95679,28,95665,5125122,53.57
DC,b,1962,17,0.00093,0.00093,0.5,95651,89,95607,5029458,52.58
DC,b,1962,18,0.00051,0.00051,0.5,95562,48,95538,4933851,51.63
